Date,Time ,x_axis,y_axis,z_axis
17/04/2025,10:57:13,-3.07,7.88,7.74
17/04/2025,10:57:31,-0.69,-1.49,8.54
17/04/2025,10:57:39,-1.44,2.38,7.31
17/04/2025,10:57:47,1.39,-13.11,11.63
17/04/2025,10:57:57,-7.02,-3.9,6.66
17/04/2025,10:58:04,-1.58,1.37,8.88
17/04/2025,10:58:13,-1.09,0.35,8.39
17/04/2025,10:58:21,-1.24,-0.63,8.37
17/04/2025,10:58:32,0.25,-3.11,8.96
17/04/2025,10:58:41,-0.15,0.94,8.41
17/04/2025,10:58:49,3.47,-6,8.77
17/04/2025,10:58:57,2.15,-3.54,8.66
17/04/2025,10:59:06,7.07,-11.07,6.72
17/04/2025,10:59:14,1.46,0.36,8.71
17/04/2025,10:59:23,2.58,-0.18,8.31
17/04/2025,10:59:33,2.28,-0.85,8.42
17/04/2025,10:59:40,-0.27,2.43,9.74
17/04/2025,10:59:48,0.14,-0.25,8.59
17/04/2025,10:59:57,-0.08,-0.54,8.55
17/04/2025,11:00:05,0.34,-0.84,8.61
17/04/2025,11:00:13,0.25,-0.72,8.62
17/04/2025,11:00:21,-0.54,0.67,8.66
17/04/2025,17:25:09,1.74,-0.06,8.42
17/04/2025,17:25:17,1.77,-0.03,8.5
17/04/2025,17:25:24,1.78,-0.07,8.43
17/04/2025,17:25:32,1.74,0,8.47
17/04/2025,17:25:39,0.77,1,8.79
17/04/2025,17:25:48,1.6,0.43,8.53
17/04/2025,17:25:56,4.71,-7.15,7.56
17/04/2025,17:26:04,1.49,-5.15,9.17
17/04/2025,17:26:11,0.78,-3.02,8.74
17/04/2025,17:26:19,4.95,-1.86,7.93
17/04/2025,17:26:52,1.95,-2.61,8.33
17/04/2025,18:12:01,0.84,9.64,-2.38
17/04/2025,18:12:09,0.85,9.67,-2.44
17/04/2025,18:12:17,0.78,9.71,-2.46
17/04/2025,18:12:24,0.86,9.7,-2.41
17/04/2025,18:12:32,0.81,9.78,-2.42
17/04/2025,18:12:39,0.83,9.65,-1.83
17/04/2025,18:12:47,-1.38,0.77,8.45
17/04/2025,18:12:54,-7.52,-18.95,19.02
17/04/2025,18:13:02,-0.85,7.79,1.97
17/04/2025,18:12:47,-1.38,0.77,8.45
17/04/2025,18:12:54,-7.52,-18.95,19.02
17/04/2025,18:13:02,-0.85,7.79,1.97
